TOOL_NAME,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max
Tool1,338.17,0.534528099,359.14,0.349301224,131.99,0.077967025,0.129875,0.01,21.8,0.404519917,2008.58,3.30625364,40017.42,49.88133324,24984.5,5.018606711,0.0,22.78,0.014815362,10006.14,1.416025505,347.68,39.01,2.923854299,2994.74,2.756254572,66001.63,33.01561636,28989.96,7.543535031,0.000215936,33.28,0.055907923,22970.73,2.792419189,6804.1,2.072176807,232.19,288.84,100.07,98.69,97.21
Tool1,338.45,0.620054818,359.01,0.094912536,131.0,0.0,0.1075,0.01,31.0,0.0,2002.84,4.926530937,40012.21,35.50763492,24984.5,4.668979793,0.0,23.11,0.015608855,10005.94,1.519855893,385.77,55.46,0.794890426,2985.58,3.312245587,66006.82,33.18730761,28990.22,6.750951158,0.000194127,33.75,0.030263232,22971.57,2.348952369,6803.01,2.595806836,220.47,453.6409693,100.39,99.68,98.96
Tool1,339.6,0.489269497,359.41,0.492797187,134.42,0.493910262,0.1465,0.01,35.0,0.0,1999.39,4.900004315,40028.63,47.9092729,24984.05,4.577378426,0.0,23.46,0.013174708,10006.08,1.842744021,403.34,60.61,0.571187693,2984.07,2.835266733,66009.32,31.37387857,28990.8,5.583123257,0.000225894,34.15,0.050521669,22972.1,2.815239574,6804.61,2.016394363,186.53,262.22,99.2,98.39,97.56
Tool1,339.49,0.500274206,359.53,0.499748512,134.0,0.0,0.11725,0.01,34.0,0.0,2003.69,4.694398123,40015.14,39.17778185,24984.57,5.767049588,0.0,23.32,0.013245926,10005.98,1.92846338,487.09,59.48,0.598819179,2989.56,2.13353807,66009.07,28.54584088,28990.36,5.661166148,0.000265774,34.06,0.061737283,22971.2,2.821214257,6804.44,2.111043826,210.22,268.82,98.64,98.25,97.66
Tool1,339.46,0.498827589,359.45,0.498284384,135.0,0.0,0.113,0.01,37.93,0.25226249,1995.8,4.998181487,40024.42,37.15221317,24986.27,6.408421966,0.0,23.88,0.014005771,10006.27,2.009316514,292.25,63.49,0.501013172,2969.95,7.836508868,66010.03,38.1049173,28990.76,6.09789734,0.000182482,34.58,0.038205263,22970.74,2.514079426,6804.25,2.583110387,230.73,478.54,98.88,97.74,96.08
Tool1,339.57,0.495038472,359.47,0.499675809,135.0,0.0,0.111375,0.01,35.0,0.0,2001.67,5.640760748,39972.17,107.3507179,24983.69,6.602222052,0.0,23.43,0.021583757,10005.45,2.009316521,400.9,60.46,0.606240463,2989.57,2.528621433,66010.28,29.66622526,28990.57,5.675625764,0.000265774,34.11,0.055771061,22970.83,2.889146188,6804.84,1.839406588,191.66,291.28,98.27,98.39,98.17
Tool1,339.52,0.499915159,359.53,0.49947704,133.0,0.0,0.109875,0.01,37.93,0.25226249,2006.07,4.504543161,40036.3,38.81996103,24984.71,2.954833169,0.0,23.74,0.018068333,10005.33,1.781476188,419.22,63.61,0.536786406,2984.78,3.108872541,66008.49,36.53554505,28990.82,6.003743453,0.00018205,34.54,0.050095939,22970.12,2.645926348,6804.15,2.209378674,197.28,434.3526827,99.32,98.76,98.1
Tool1,339.51,0.500328322,359.46,0.498626437,135.0,0.0,0.101875,0.01,38.23,0.427462574,1982.09,4.087227221,40023.51,38.01165649,24986.12,8.475436615,0.0,23.82,0.016797933,10006.52,1.511198468,422.39,64.41,0.601360382,2962.78,10.14599669,66011.47,38.49338371,28990.75,6.374616873,0.000268208,34.51,0.055209684,22970.21,2.740758937,6804.29,2.289473872,129.65,950.25,99.2,98.23,96.99
Tool1,336.92,0.617715149,358.71,0.451995598,132.0,0.0,0.118155,0.01,26.23,0.423915106,2002.27,4.099708647,40024.3,76.50882834,24984.46,4.668956361,0.0,22.88,0.016275898,10006.62,2.022046109,251.97,46.46,1.330221141,2994.94,2.840684474,66002.67,29.78366067,28990.43,6.685774937,0.00023936,33.39,0.04205636,22970.8,2.763788299,6804.32,2.433958282,245.13,192.64,98.61,99.29,99.83
Tool1,339.57,0.495112062,359.48,0.49978439,132.62,0.484523794,0.116125,0.01,35.91,0.290803363,2006.39,4.27113573,40043.78,43.01508987,24985.64,5.080493939,0.0,23.54,0.016610193,10006.41,2.861463718,419.22,61.32,0.728920246,2989.39,3.761619969,66008.74,30.61983143,28990.86,6.36608631,0.000275754,34.38,0.063057366,22970.93,2.41927557,6804.35,2.592651688,197.77,659.71,98.87,98.57,97.91
