TOOL_NAME,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max
Tool3,339.47,0.499472393,359.14,0.349973835,133.0,0.0,0.076875,0.0,38.0,0.0,1950.86,5.302877276,40090.23,34.27474502,24984.88,18.74948926,0.0,20.62,0.014276046,9892.04,1.807788897,384.3,67.88,0.742339148,2902.86,2.254737829,66107.76,26.51066811,28995.06,13.56662604,0.000276489,31.24,0.054428558,22743.84,2.730766241,6785.05,2.059601504,159.68,156.0153818,99.83,99.78,99.76
Tool3,337.05,0.552355014,358.69,0.463440336,136.0,0.0,0.086125,0.0,31.0,0.0,1951.02,3.557890647,40090.5,30.92471175,24985.05,23.69749768,0.0,20.31,0.011793681,9892.16,1.572431218,385.03,56.66,1.106716143,2911.4,2.258398367,66102.19,25.05764498,28993.63,15.17372415,0.00032793,30.79,0.034985729,22743.13,2.646696944,6784.23,2.673170067,158.7,626.75,99.31,99.48,99.87
Tool3,337.43,0.495491573,358.62,0.485614596,135.0,0.0,0.091,0.0,33.0,0.0,1972.4,4.217927108,40095.71,21.49148683,24983.62,17.98035212,0.0,20.32,0.008686458,9892.9,2.051850859,434.84,60.09,1.068683871,2943.67,8.788213948,66102.22,28.90242665,28993.84,16.25083689,0.000297776,30.85,0.038036446,22743.19,2.494221881,6782.91,2.405667427,165.05,132.8206067,99.35,99.86,101.28
Tool3,336.52,0.499922693,358.83,0.379892919,136.0,0.0,0.0925,0.0,34.23,0.423915106,1950.36,3.004577199,40083.23,25.52492415,24984.6,21.0361794,0.0,20.47,0.014690248,9891.96,1.766133753,509.55,62.41,0.828852334,2911.81,2.241449141,66108.38,21.19208487,28994.74,11.16607315,0.000374466,30.96,0.037137894,22742.86,2.606637492,6784.64,1.717370836,140.88,937.31,99.41,99.63,100.14
Tool3,339.6,0.652219955,359.59,0.492311112,135.0,0.0,0.07975,0.0,38.0,0.0,1984.5,4.663066164,40098.22,26.30617815,24985.85,12.78992824,0.0,20.67,0.013630196,9892.84,1.830682459,428.98,66.55,0.709545411,2959.43,3.026816397,66108.99,21.13482191,28994.67,8.238631295,0.000260912,31.32,0.059963116,22743.3,2.738288308,6784.45,2.29365054,137.95,853.81,99.71,100.15,100.71
Tool3,339.61,0.487951309,359.52,0.500098367,139.0,0.0,0.0885,0.0,41.48,0.505257768,1964.34,5.04833927,40107.37,28.4317117,24986.54,15.60110064,0.0,20.87,0.013946439,9892.63,1.856159909,520.05,70.88,0.734275285,2936.42,16.88210286,66111.82,27.01056872,28995.12,11.49018619,0.000344733,31.59,0.046524885,22743.09,2.877603103,6784.62,2.404693194,187.76,815.97,99.02,99.61,100.69
Tool3,339.27,0.48885266,359.03,0.167090809,135.94,0.232784666,0.088375,0.0,42.84,0.3665289,1947.89,5.381881313,40089.04,22.46544467,24986.54,14.19343761,0.0,20.98,0.013476504,9891.51,1.878642242,527.38,73.14,0.697203454,2892.97,2.774403715,66109.34,24.58297753,28995.39,12.85242895,0.000248389,31.7,0.038153872,22743.33,3.055648289,6784.66,1.462858878,181.65,539.58,99.14,98.83,99.11
Tool3,338.43,0.696367521,359.14,0.347207688,133.0,0.0,0.097375,0.0,27.3,0.461521521,1990.11,4.716206147,40083.4,14.0596591,24986.89,20.21839152,0.0,20.2,0.014276046,9891.96,1.934702593,390.65,50.55,2.514798085,2957.04,5.402523664,66101.88,23.41536208,28994.94,15.327508,0.000297776,30.65,0.047138745,22743.37,2.77791952,6783.69,2.289487441,142.83,163.34,99.52,99.92,101.18
Tool3,337.48,0.499889123,358.17,0.379160307,130.87,0.394714178,0.07475,0.0,39.2,0.408032457,1964.8,4.588050939,40087.56,23.05218213,24985.78,18.37004556,0.0,20.62,0.014856608,9892.42,2.167564956,492.22,70.31,0.811326935,2903.15,2.335622683,66101.4,27.03094848,28994.53,15.17352024,0.000299999,31.44,0.067423378,22743.23,2.551645641,6784.38,2.77326736,197.28,109.3816761,99.45,99.21,98.77
Tool3,337.57,0.55538246,358.17,0.375554161,132.04,0.19143221,0.0885,0.0,31.09,0.290803363,1951.34,3.821257444,40077.57,23.55353387,24985.71,25.38356696,0.0,20.24,0.019823481,9891.75,1.819028129,504.43,57.0,1.004705908,2915.36,10.05758951,66099.68,23.37361575,28993.97,15.13722128,0.000371796,30.7,0.054654878,22742.69,2.685799636,6784.02,2.546474841,165.78,862.6014771,99.88,99.59,98.82
Tool3,337.4673,0.5108,359.1379,0.345,136.3193,0.4665,0.1043,0.004,33.0,0.0,1996.2727,4.5308,40085.7319,37.0662,24986.2663,21.4698,0.0,20.4798,0.0169,9892.2109,1.3445,647.5005,53.7887,0.9454,2972.4085,2.8545,66104.1117,25.1684,28996.1053,17.1764,0.0003,30.899,0.0374,22743.6805,2.3144,6784.4072,3.0132,210.4621,590.6122,100.08,100.81,101.53
Tool3,339.49,0.50032695,359.36,0.480200385,139.0,0.0,0.08525,0.0,42.6,0.495433694,1960.16,4.88018049,40089.69,19.32603902,24986.94,14.40170886,0.0,20.98,0.011900259,9892.49,2.19539503,390.16,72.35,0.689012658,2911.86,3.466175774,66111.19,25.89850314,28995.6,9.954340463,0.000277111,31.81,0.054402776,22743.33,2.639205848,6783.77,2.954001438,172.62,522.74,99.2,99.72,100.54
