TOOL_NAME,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max
Tool4,336.67,0.538142352,358.9,0.298939632,134.0,0.0,0.09725,0.0,27.0,0.0,1882.4,4.329602123,40049.97,16.17535602,25011.36,4.109520998,0.0,22.43,0.019493589,9881.58,1.460765486,1253.98,44.08,0.710388037,2749.57,7.789323288,66034.78,34.01175344,29020.71,7.615836246,0.000231648,32.67,0.061375544,22693.02,2.662847569,6804.8,2.058687799,129.89,81.3,99.71,99.71,99.29
Tool4,339.47,0.499567956,359.51,0.500252352,135.0,0.0,0.09075,0.0,35.67,0.476731295,1892.44,4.722073676,40053.23,13.73874157,25010.34,5.605730448,0.0,23.08,0.019021519,9913.0,2.014367179,1317.95,60.51,0.510263328,2755.1,3.706706625,66038.92,35.32425464,29019.99,6.265347384,0.000188869,33.61,0.059027578,22762.68,2.295831418,6805.55,1.938652807,126.96,293.9632546,100.26,100.42,101.0
Tool4,336.96,0.721624361,358.85,0.357194669,131.14,0.346361354,0.101875,0.01,26.13,0.343775825,1884.67,5.308655026,40051.27,8.970846873,25009.87,9.048851639,0.0,22.32,0.011793681,9844.23,1.80602339,1383.39,47.53,0.876627543,2756.18,7.297052177,66034.26,30.26514984,29019.74,10.42376357,0.000250362,32.58,0.043048415,22686.16,32.72924544,6805.55,1.17126316,115.0,509.552585,100.5,100.56,100.54
Tool4,338.96,0.597021558,359.0,0.0,133.0,0.0,0.09275,0.0,34.0,0.0,1891.49,3.724897525,40053.15,12.59504055,25013.95,8.513081104,0.0,22.92,0.009494418,9909.25,1.755589606,880.18,56.25,0.435995603,2758.97,3.984828927,66038.21,35.40649567,29020.3,7.150415573,0.00021015,33.39,0.073069686,22758.63,2.535812321,6804.89,2.536949922,115.97,467.8,100.11,100.4,101.08
Tool4,337.93,0.671751291,359.0,0.0,131.0,0.0,0.089875,0.0,32.0,0.0,1924.13,4.70299711,40054.69,15.66301863,25011.22,7.398536749,0.0,22.57,0.015135749,9900.99,1.131504079,1164.62,54.95,0.483249017,2792.01,16.14115707,66035.07,31.58886522,29020.3,8.2950879,0.000188869,33.01,0.057409665,22729.17,5.453964141,6804.29,1.625047201,125.5,87.1635232,101.22,100.82,99.97
Tool4,339.37,0.483665722,359.39,0.488782412,134.01,0.080385514,0.087625,0.0,35.61,0.492544843,1889.68,4.996616191,40052.77,12.69451394,25012.69,4.363179647,0.0,23.04,0.009467872,9861.33,1.988906432,984.44,60.67,0.470271716,2766.69,3.358716717,66039.02,36.23086489,29020.57,5.418592774,0.000188869,33.56,0.050414649,22686.26,7.683360623,6805.55,1.234011579,148.93,167.4906916,100.33,100.32,100.27
Tool4,337.53,0.737105621,359.15,0.353941915,131.0,0.0,0.097125,0.0,22.0,0.0,1891.24,3.213293097,40040.86,14.60672743,25010.27,6.686474486,0.0,22.1,0.025461399,9894.12,1.714628698,1324.06,37.01,2.240180987,2761.19,4.56132253,66029.66,39.47754149,29018.44,7.947488328,0.000177491,32.35,0.073667959,22750.19,5.228576837,6804.34,1.149146448,137.22,158.95,100.9,100.6,100.08
Tool4,339.91,0.606205179,359.83,0.456828513,137.0,0.0,0.0905,0.0,35.02,0.150755672,1883.41,4.389830647,40046.11,11.98678459,25010.82,6.901824906,0.0,23.13,0.010692215,9910.02,2.421307844,1246.41,56.93,0.261939671,2740.34,4.57891958,66032.87,29.66034354,29020.15,9.672402656,0.000289929,33.77,0.050197851,22752.03,2.631641373,6804.22,2.035215317,121.83,83.01,100.16,99.97,99.35
Tool4,339.81,0.600177269,359.44,0.497348051,135.0,0.0,0.113125,0.0,32.09,0.290803363,1894.09,3.715574899,40050.44,13.79086167,25010.89,5.864910372,0.0,22.73,0.016906658,9912.35,2.388884736,1014.47,55.32,0.573568701,2767.73,5.636561245,66040.6,33.91869741,29019.52,5.602896973,0.000221806,33.15,0.043230509,22764.77,2.674220645,6805.1,1.378207782,132.58,162.3634255,100.77,101.13,101.84
Tool4,336.58,0.494295799,358.79,0.407879477,134.0,0.0,0.0992,0.01,26.0,0.0,1882.18,4.271445087,40047.61,17.41232336,25011.38,7.08485427,0.0,22.31,0.014913422,9912.27,2.923956514,921.44,43.79,0.857901762,2756.81,3.934538655,66035.36,35.39914399,29019.94,6.297288388,0.000228595,32.59,0.073380023,22762.15,2.83646354,6804.74,2.157879272,135.51,178.23,100.07,99.84,98.99
Tool4,338.87,0.589634803,359.24,0.427588356,133.86,0.350211484,0.093,0.0,33.0,0.0,1884.86,5.630444276,40048.61,17.31105958,25012.76,3.591423784,0.0,22.73,0.025138096,9907.94,1.645617644,987.85,54.99,0.296261625,2750.81,4.027607832,66034.43,36.42401183,29019.47,6.237214525,0.000188869,33.2,0.058242047,22751.76,2.791674421,6805.5,1.988595102,135.99,137.22,100.32,100.16,99.44
Tool4,339.81,0.657188796,359.54,0.498825158,132.0,0.0,0.091875,0.0,34.0,0.0,1893.2,2.501902025,40046.94,15.01260915,25011.79,3.362032835,0.0,22.88,0.013568011,9912.52,2.229237096,1310.87,57.57,0.496015873,2752.02,5.022139073,66032.84,36.99152449,29019.46,11.33251119,0.000201547,33.33,0.052616835,22761.58,2.363269063,6805.16,2.306622144,129.4,482.695477,99.92,100.0,100.18
Tool4,339.47,0.49955106,359.5,0.500403701,135.85,0.359891231,0.09475,0.0,35.0,0.0,1885.02,4.570104877,40054.69,16.34864453,25013.46,9.625226206,0.0,23.13,0.014967979,9913.65,1.34989926,1259.11,56.97,0.164717282,2741.12,3.372684391,66034.51,36.85031487,29019.55,9.395288031,0.000231648,33.69,0.07358724,22763.48,2.38209916,6805.43,1.672997858,132.82,154.55,100.56,99.92,98.47
Tool4,339.67,0.469966755,359.5,0.500364635,134.0,0.0,0.091875,0.0,30.0,0.0,1879.11,4.744481111,40050.46,15.47680647,25013.8,5.501542951,0.0,22.63,0.011590662,9895.95,1.423183223,1020.81,49.11,0.496961239,2738.6,8.588837785,66036.42,35.28664679,29019.81,6.787945782,0.000221806,32.96,0.071154081,22724.31,4.963609516,6804.27,1.803864261,121.83,146.25,100.65,100.08,98.9
Tool4,339.44,0.497054665,359.39,0.48834721,136.0,0.0,0.087,0.0,33.0,0.0,1877.95,3.747585551,40045.78,22.62444225,25011.38,9.535115115,0.0,22.97,0.014627149,9911.11,1.741883651,2664.47,53.14,0.345959044,2729.47,4.157829851,66037.47,33.35432382,29020.28,6.349123258,0.00021015,33.38,0.064964772,22759.58,2.451059442,6805.1,2.20791261,170.18,165.29,100.47,99.92,98.89
Tool4,339.84,0.611005437,359.57,0.495901999,135.0,0.0,0.094375,0.0,32.0,0.0,1881.49,4.4293557,40048.67,9.259199834,25012.85,4.852766582,0.0,22.78,0.010871146,9914.02,1.654306241,1169.02,52.58,0.495327201,2741.96,3.296817397,66037.67,33.28221437,29020.11,9.825908632,0.000234977,33.09,0.058789998,22764.39,2.145449805,6804.18,1.75132244,140.63,107.67,99.95,99.82,99.3
Tool4,339.15,0.571328667,359.3,0.460233257,133.0,0.0,0.104375,0.0,35.0,0.0,1895.73,4.266145802,40048.51,30.73222421,25012.92,4.6193461,0.000287799,22.95,0.023246592,9912.47,1.855968938,899.96,58.01,0.340712887,2773.31,4.342238911,66035.05,33.19990465,29020.0,13.40826765,0.000210614,33.36,0.062221559,22761.53,2.229861248,6804.25,2.317066129,128.91,109.3816761,99.88,100.13,100.44
Tool4,338.66,0.474925592,359.03,0.176965598,133.29,0.455236191,0.09675,0.0,31.0,0.0,1894.43,5.128115513,40049.61,10.46214899,25011.51,4.853014559,0.0,22.59,0.012119472,9911.11,1.501449805,1240.07,52.67,0.491174891,2761.61,2.761745851,66033.11,33.4052115,29019.85,8.926121061,0.000318875,32.93,0.05495976,22760.54,2.654943737,6803.9,2.252155908,103.28,120.1245193,99.72,99.92,100.15
Tool4,337.62,0.486903918,358.83,0.372734889,131.0,0.0,0.093,0.0,32.0,0.0,1883.44,4.13167122,40052.57,14.67335755,25011.9,5.098582135,0.0,22.63,0.015135749,9854.48,1.975315467,1083.07,55.45,0.599538993,2737.08,3.985894227,66039.02,41.00336512,29020.28,12.75506735,0.000188869,32.98,0.070583812,22688.57,12.32165212,6805.46,1.864775019,141.85,125.984252,100.1,99.81,99.38
Tool4,337.71,0.699636047,358.64,0.530370522,128.26,0.438397157,0.1,0.0,29.33,0.476731295,1922.0,4.95892217,40045.9,12.72507979,25009.19,6.655446605,0.0,22.35,0.007261355,9884.35,3.288589649,1510.35,52.64,0.805651335,2758.4,20.17066236,66029.01,35.10773024,29018.32,6.720568022,0.000210614,32.68,0.058228348,22607.55,11.87777535,6804.16,2.205110545,126.23,119.1478972,101.39,100.89,99.76
Tool4,339.42,0.49333265,359.4,0.489693835,135.0,0.0,0.08775,0.0,33.0,0.0,1877.78,4.389496186,40051.44,12.63747429,25012.11,5.106879263,0.0,23.02,0.006605783,9891.76,1.755621625,2498.93,53.9,0.29633363,2731.1,3.611818041,66032.54,31.6153781,29020.64,8.554339666,0.000221806,33.45,0.066397691,22716.35,2.565932527,6805.39,1.671374886,180.68,162.85,100.52,99.87,98.66
Tool4,337.39,0.903206191,359.35,0.490146073,132.0,0.0,0.094625,0.01,26.11,0.321038221,1898.02,3.158514785,40046.94,20.49434772,25010.47,6.258007799,0.0,22.31,0.018276708,9892.63,1.584159416,1208.33,44.75,0.863508959,2778.08,3.690370479,66032.0,32.76420359,29019.08,4.886399212,0.000264372,32.58,0.069808763,22724.54,3.098354863,6804.77,2.50383523,129.4,314.47,99.78,100.09,100.14
Tool4,339.5,0.500332068,359.58,0.494271237,138.0,0.0,0.09925,0.0,35.67,0.476731295,1885.78,4.415308539,40053.55,9.730085786,25011.56,3.772927339,0.0,23.17,0.010744978,9914.59,1.996633965,1088.2,57.02,0.150382116,2740.53,3.93118503,66038.17,30.96323263,29019.74,5.325560105,0.000164346,33.72,0.076380144,22764.66,2.286651923,6805.79,1.507399665,129.65,118.66,100.53,99.99,98.95
Tool4,339.42,0.494180466,359.26,0.439153251,132.0,0.0,0.09325,0.0,35.23,0.423915106,1888.25,4.248802841,40053.6,8.762975121,25012.21,5.24498448,0.0,22.96,0.008832479,9892.34,1.608032798,1144.6,59.78,0.416013313,2751.66,7.89117017,66035.44,31.89720574,29020.6,7.576961913,0.000231132,33.48,0.055656833,22718.81,2.795899487,6805.1,2.294031194,134.29,100.5920772,99.53,99.37,99.94
Tool4,339.51,0.500295191,359.46,0.498683418,132.0,0.0,0.08176,0.0,36.0,0.0,1881.98,4.459356297,40056.48,10.31407693,25012.45,4.290959251,0.0,23.16,0.013588468,9886.35,2.080538004,941.95,59.46,0.499784622,2740.83,4.216612791,66037.66,36.495777,29020.72,8.806002483,0.000236067,33.67,0.076832144,22710.09,5.905236554,6804.79,2.563161061,149.67,537.39,100.98,100.62,99.66
Tool4,337.39,0.487030322,358.65,0.47803225,135.0,0.0,0.10879,0.01,26.89,0.317820863,1886.33,3.630677372,40049.48,9.89576318,25011.36,9.29099043,0.0,22.29,0.007732915,9864.21,1.744007685,1504.97,47.75,0.8989763,2763.05,4.729949101,66033.55,33.36722453,29019.46,10.85439016,0.000221806,32.61,0.06887079,22662.78,11.90034588,6804.01,2.067425835,126.96,135.5063175,100.08,100.21,99.81
Tool4,336.61,0.488345285,358.79,0.404185529,133.0,0.0,0.0995,0.01,28.02,0.150755672,1891.41,3.768400943,40052.77,15.03431526,25012.62,4.51674822,0.000254972,22.43,0.016773267,9869.36,1.306412713,1125.31,49.08,0.783235551,2764.94,3.095861334,66039.49,32.71375334,29020.36,6.990580204,0.00021015,32.68,0.06197581,22667.21,2.767610574,6805.34,2.100892758,113.53,325.4593176,98.22,99.22,100.86
Tool4,337.05,0.709591649,359.07,0.251520163,132.54,0.498845151,0.097125,0.01,28.04,0.208409077,1891.42,5.479253802,40051.76,12.03565406,25011.36,6.100033518,0.0,22.39,0.012605114,9886.67,1.960686492,923.4,49.81,0.793115539,2769.55,7.801246503,66035.34,38.75243379,29019.46,5.28691159,0.000164346,32.68,0.058240252,22695.89,10.80601958,6804.93,2.43570524,140.63,170.1764024,100.0,100.14,100.41
Tool4,337.62,0.485269898,358.73,0.44179986,132.0,0.0,0.087625,0.0,32.0,0.0,1872.95,4.685229365,40051.77,16.52238488,25012.14,3.257164149,0.0,22.59,0.010984806,9875.77,1.576870733,1289.14,56.64,0.535599066,2717.41,3.966476048,66033.35,36.23838311,29020.02,7.022204443,0.000223339,32.92,0.065418291,22697.95,4.467012187,6805.35,2.000053973,153.33,492.9500092,101.38,100.39,98.44
Tool4,338.16,0.469411458,358.64,0.510833773,129.12,0.330750621,0.226,0.01,28.05,0.210707055,1919.86,6.774064456,40042.45,17.34624221,25009.5,4.890907601,0.0,22.14,0.016249898,9907.86,1.41140097,1359.46,49.03,0.876669518,2732.85,25.01925568,66027.49,35.2524902,29018.61,10.72460716,0.000261908,32.53,0.074078693,22683.11,30.92205013,6803.58,1.783384776,162.85,281.7554782,102.03,101.09,98.7
Tool4,338.11,0.652264821,359.03,0.173342896,135.0,0.0,0.096125,0.0,30.0,0.0,1894.95,4.98348223,40053.44,15.99922589,25011.93,2.817075765,0.0,22.55,0.011693315,9904.03,1.494350685,1168.04,51.22,0.668125421,2769.83,4.091902843,66031.83,34.18617711,29020.17,8.782854946,0.000176698,32.81,0.057305457,22740.56,4.958924631,6804.94,2.257315188,59.82,323.02,99.46,99.67,99.82
Tool4,336.6,0.490781527,358.78,0.417117491,132.97,0.18361877,0.09975,0.01,26.66,0.479494977,1890.14,3.985969049,40046.11,10.66482123,25011.17,7.896831891,0.0,22.34,0.010802865,9898.87,1.572932065,985.66,46.84,0.857355,2769.51,5.2005216,66034.01,38.00912633,29019.53,7.036050721,0.000189716,32.62,0.05309086,22744.71,3.44022381,6805.03,2.241045669,127.21,524.2019166,99.35,99.84,99.9
Tool4,337.18,0.697340983,358.94,0.234767153,134.14,0.351862024,0.09775,0.0,28.0,0.0,1890.27,4.576805204,40051.44,13.16817166,25011.03,4.225613647,0.0,22.42,0.011225161,9907.61,1.276912583,1091.38,47.84,0.777796064,2769.24,3.784433987,66035.17,36.45931635,29019.87,6.668982429,0.000260224,32.65,0.068743787,22756.77,2.857850282,6805.36,1.570162006,143.81,155.04,100.02,100.36,100.71
