TOOL_NAME,LOTID,GLSID,RECIPEID,MODEL_NAME,TIME_STAMP,PAS연동여부,MP_ALLSTEP.INNER_TEMP.Mean,MP_ALLSTEP.INNER_TEMP.Stdev,MP_ALLSTEP.OUTER_TEMP.Mean,MP_ALLSTEP.OUTER_TEMP.Stdev,MP_ALLSTEP.WALLHTR_TEMP1.Mean,MP_ALLSTEP.WALLHTR_TEMP1.Stdev,MP_STEP1_First10sec.PC_PRESSURE.Area,MP_STEP1_First10sec.PC_PRESSURE.Min,MP_STEP3.MATCHER_VDC.Mean,MP_STEP3.MATCHER_VDC.Stdev,MP_STEP3.MATCHER_VPP.Mean,MP_STEP3.MATCHER_VPP.Stdev,MP_STEP3.N2_FLOW.Mean,MP_STEP3.N2_FLOW.Stdev,MP_STEP3.NH3_FLOW.Mean,MP_STEP3.NH3_FLOW.Stdev,MP_STEP3.PC_PRESSURE.Stdev,MP_STEP3.PC_TV_ANGLE.Mean,MP_STEP3.PC_TV_ANGLE.Stdev,MP_STEP3.RFGEN_FORWARD.Mean,MP_STEP3.RFGEN_FORWARD.Stdev,MP_STEP3_No_Shift.RFGEN_REFLECT.Max,MP_STEP4.MATCHER_VDC.Mean,MP_STEP4.MATCHER_VDC.Stdev,MP_STEP4.MATCHER_VPP.Mean,MP_STEP4.MATCHER_VPP.Stdev,MP_STEP4.N2_FLOW.Mean,MP_STEP4.N2_FLOW.Stdev,MP_STEP4.NH3_FLOW.Mean,MP_STEP4.NH3_FLOW.Stdev,MP_STEP4.PC_PRESSURE.Stdev,MP_STEP4.PC_TV_ANGLE.Mean,MP_STEP4.PC_TV_ANGLE.Stdev,MP_STEP4.RFGEN_FORWARD.Mean,MP_STEP4.RFGEN_FORWARD.Stdev,MP_STEP4.SIH4_FLOW.Mean,MP_STEP4.SIH4_FLOW.Stdev,MP_STEP4_No_Shift.RFGEN_REFLECT.Max,MP_STEP5_to_Last_PWR_Lift.RFGEN_REFLECT.Max,MP_STEP4.EI2.Max,MP_STEP4.EI3.Max,MP_STEP4.EI4.Max,추가정보_정상.이상여부,추가정보_Data_Resume
P8TCVD060308,P8CB16029Z00,P8CB16025H16,RUN_1ST_23,CB,2011-06-26 5:37,OK,337.8474,0.705,358.4805,0.5065,134.3864,0.4873,0.1509,0.011,42,0,1982.3556,3.9321,40073.8977,28.5748,24985.588,19.4103,0,20.9042,0.0137,9891.8798,1.6543,545.9318,69.8915,0.6477,2933.7783,3.1821,66095.0203,26.5765,28994.5917,17.2712,2.00E-04,31.8182,0.0601,22743.5624,2.8434,6783.6511,3.9035,207.7764,560.3369,99.89,99.25,97.35,이상,"PPD,RFRS_NG"
P8TCVD060308,P8CB1601W300,P8CB1601U901,RUN_1ST_23,CB,2011-06-22 13:13,NG,339.4638,0.4991,359.5217,0.4999,136,0,0.1364,0.008,41.2222,0.4204,1983.3556,3.4388,40083.3384,30.8115,24987.6905,18.6621,0,20.9724,0.0225,9892.5309,1.6938,291.5217,69.0849,0.6762,2952.7217,2.7109,66107.3547,26.0023,28994.9228,14.0108,3.00E-04,31.8092,0.0491,22743.4242,2.7325,6784.4141,3.026,201.1842,531.0383,99.04,99.6,100.22,이상,"PPD,RFRS_NG"
P8TCVD060306,P8CB1700VA00,P8CB1700TR01,RUN_1ST_23,CB,2011-07-12 9:26,NG,338.0412,0.7213,359.1619,0.3686,134.0453,0.208,0.1296,0.008,30.1364,0.3471,1964.2955,3.4747,40027.1346,51.1528,24984.5322,5.7153,0,23.2268,0.0146,10005.7016,1.7756,286.1503,49.652,0.5628,2923.8627,1.7647,66009.7806,28.6739,28990.5216,5.2851,2.00E-04,33.8506,0.0728,22969.0928,2.815,6804.0775,2.6889,162.6076,783.4951,100.22,99.55,98.59,이상,GS4D
P8TCVD060309,P8CB17003900,P8CB17001F07,RUN_1ST_23,CB,2011-07-03 11:17,OK,339.0655,0.6214,359.2574,0.4375,134,0,0.0846,0.004,29.1136,0.321,1849.4091,3.8296,40052.9374,12.0163,25012.832,8.6467,0,23.0934,0.0133,9852.924,1.9656,2887.6274,43,0,2673.023,3.1541,66033.5163,29.9275,29021.6817,10.2787,2.00E-04,33.52,0.0607,22628.534,2.4717,6804.6258,2.6342,149.4232,123.2985,99.11,99.46,100.08,이상,"GS5D,RFM_NG"
P8TCVD060308,P8GA1600N100,P8GA1600L212,RUN_1ST_23,GA,2011-06-27 0:44,NG,339.6114,0.4878,359.4071,0.4917,139,0,0.1541,0.013,38.5111,0.5055,1970.7333,4.1909,40095.5462,35.8819,24988.0296,21.8872,0,20.8198,0.0166,9892.3274,1.5906,285.4178,64.2488,0.7197,2925.8732,2.1909,66109.9921,22.6172,28995.3459,10.049,2.00E-04,31.6438,0.0574,22743.0959,2.7294,6784.2783,2.5318,152.353,540.8045,99.6,100.16,99.22,이상,"PPD,RFRS_NG"
P8TCVD060308,P8CB1602D700,P8CB1602BJ02,RUN_1ST_23,CB,2011-06-27 9:30,OK,339.44,0.4968,359.4016,0.4906,137.0192,0.1373,0.159,0.013,37.4667,0.5045,1985.7778,4.762,40104.173,30.357,24986.8766,26.8407,0,20.7473,0.0107,9892.0019,1.3797,381.3709,63.3491,0.689,2953.5566,2.2332,66109.4623,24.471,28995.7002,10.1454,3.00E-04,31.4527,0.0556,22743.1305,2.6827,6784.9252,2.7116,132.8206,543.9785,99.48,100.37,100.46,이상,"PPD,RFRS_NG"
P8TCVD060308,P8CB1602AH00,P8CB16028N11,RUN_1ST_23,CB,2011-06-26 14:59,NG,339.4326,0.4958,359.3705,0.4833,139,0,0.1381,0.012,42.6818,0.4712,1980.4318,5.1054,40071.249,20.1286,24986.405,25.1494,0,21.2889,0.0126,9892.2941,1.2658,357.932,70.8216,0.656,2941.0939,3.4655,66107.1035,21.4978,28995.0879,12.2922,3.00E-04,32.2327,0.0553,22743.8353,3.1403,6783.8413,2.8154,232.1919,143.0751,99.68,100.27,100.48,이상,"PPD,RFRS_NG"
P8TCVD060309,P8CB17002800,P8CB17002812,RUN_1ST_23,CB,2011-07-04 0:34,OK,338.0827,0.5363,359.0077,0.455,129.2129,0.4096,0.0823,0.004,18.6667,0.4767,1876.1111,18.8321,40041.1809,16.0239,25010.6818,5.4827,0,22.1053,0.0266,9871.6556,1.7382,3203.0764,27.2857,2.1798,2669.6636,13.8337,66029.297,38.8397,29019.1642,6.3898,2.00E-04,32.3242,0.0691,22675.8996,5.4968,6803.8663,2.5785,109.1375,147.9582,100.81,100.11,98.66,이상,"GS5D,RFM_NG"
P8TCVD060309,P8CB1602KS00,P8CB1602K708,RUN_1ST_23,CB,2011-07-01 21:13,OK,339.5129,0.5002,359.3338,0.4719,131,0,0.0768,0.004,28,0,1844.6667,3.9886,40055.5047,10.1792,25013.0555,5.16,0,23.0064,0.0088,9897.4547,2.1024,3383.7514,42,0,2664.765,3.3631,66038.7144,32.7307,29021.4145,6.6667,1.00E-04,33.3746,0.0743,22743.1549,4.3514,6805.9689,1.867,109.3817,259.2932,100.51,100.26,99.78,이상,"GS5D,RFM_NG"
P8TCVD060308,P8CB1602DJ00,P8CB1602BV04,RUN_1ST_23,CB,2011-06-27 11:30,OK,338.5186,0.5,359.2562,0.4369,138,0,0.1843,0.013,41.6818,0.4712,1982.3636,4.8852,40097.7177,28.4756,24988.0697,17.0411,0,21.0752,0.0125,9892.0028,2.0325,428.7371,68.3458,0.622,2938.0561,2.7109,66106.17,28.2772,28994.9806,10.3876,3.00E-04,31.9957,0.0394,22743.3868,2.5996,6784.0225,3.9128,229.262,134.2855,99.49,100.1,99.77,이상,"PPD,RFRS_NG"
